id,kodas,name
darbo_kodas_171, 912,"2 - Transporto priemonių ir langų plovėjai, skalbėjai ir kiti valytojai (rankomis)"
darbo_kodas_172, 921,"1 - Nekvalifikuoti žemės, miškų ir žuvininkystės ūkio darbininkai"
darbo_kodas_173, 931,1 - Nekvalifikuoti gavybos ir statybos darbininkai
darbo_kodas_174, 932,2 - Nekvalifikuoti apdirbimo pramonės darbininkai
darbo_kodas_175, 933,3 - Nekvalifikuoti transporto ir sandėliavimo darbininkai
darbo_kodas_176, 941,1 - Maisto ruošimo padėjėjai
darbo_kodas_177, 951,1 - Gatvėje teikiamų paslaugų teikėjai
darbo_kodas_178, 952,2 - Ne maisto produktų gatvės pardavėjai
darbo_kodas_179, 961,1 - Buitinių atliekų surinkėjai
darbo_kodas_180, 962,2 - Kiti nekvalifikuoti darbininkai
darbo_kodas_181, 011,"1 - Ginkluotųjų pajėgų karininkai, generolai ir admirolai"
darbo_kodas_182, 021,"1 - Ginkluotųjų pajėgų puskarininkiai, seržantai ir viršilos"
darbo_kodas_183, 031,"1 - Ginkluotųjų pajėgų profesijos, kiti laipsniai"
darbo_kodas_184, 1111,1 - Teisės aktų leidėjai
darbo_kodas_185, 1112,2 - Vyresnieji valstybės tarnautojai
darbo_kodas_186, 1113,3 - Seniūnai
darbo_kodas_187, 1114,4 - Specialios paskirties organizacijų vadovai
darbo_kodas_188, 1120,"0 - Įmonių, įstaigų ir organizacijų vadovai"
darbo_kodas_189, 1211,1 - Finansų srities vadovai
darbo_kodas_190, 1212,2 - Žmogiškųjų išteklių srities vadovai
darbo_kodas_191, 1213,3 - Politikos ir planavimo srities vadovai
darbo_kodas_192, 1219,9 - Kitur nepriskirti verslo paslaugų srities ir administracijos vadovai
darbo_kodas_193, 1221,1 - Pardavimo ir rinkodaros vadovai
darbo_kodas_194, 1222,2 - Reklamos ir viešųjų ryšių srities vadovai
darbo_kodas_195, 1223,3 - Mokslinių tyrimų ir plėtros vadovai
darbo_kodas_196, 1311,1 - Žemės ir miškų ūkio produkcijos gamybos vadovai
