id,date,name
l10n_lt_payroll.2025_05_01,2025-05-01,Tarptautinę darbo dieną
l10n_lt_payroll.2025_05_04,2025-05-04,Motinos diena
l10n_lt_payroll.2025_06_24,2025-06-24,Rasos ir Joninių diena
l10n_lt_payroll.2025_07_06,2025-07-06,Valstybės (Lietuvos karaliaus Mindaugo karūnavimo) diena
l10n_lt_payroll.2025_08_15,2025-08-15,Žolinė (Švč. Mergelės Marijos ėmimo į dangų diena)
l10n_lt_payroll.2025_11_01,2025-11-01,Visų Šventųjų diena
l10n_lt_payroll.2025_11_02,2025-11-02,Mirusiųjų atminimo (Vėlinių) dieną
l10n_lt_payroll.2025_12_24,2025-12-24,Šv. Kūčios
l10n_lt_payroll.2025_12_25,2025-12-25,Šv. Kalėdos 1 d.
l10n_lt_payroll.2025_12_26,2025-12-26,Šv. Kalėdos 2 d.
l10n_lt_payroll.2026_01_01,2026-01-01,Naujųjų metų diena
l10n_lt_payroll.2026_02_16,2026-02-16,Lietuvos valstybės atkūrimo diena
l10n_lt_payroll.2026_03_11,2026-03-11,Lietuvos nepriklausomybės atkūrimo diena
l10n_lt_payroll.2026_04_05,2026-04-05,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 1 d.
l10n_lt_payroll.2026_04_06,2026-04-06,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 2 d.
l10n_lt_payroll.2026_05_01,2026-05-01,Tarptautinę darbo dieną
l10n_lt_payroll.2026_05_03,2026-05-03,Motinos diena
l10n_lt_payroll.2026_06_24,2026-06-24,Rasos ir Joninių diena
l10n_lt_payroll.2026_07_06,2026-07-06,Valstybės (Lietuvos karaliaus Mindaugo karūnavimo) diena
l10n_lt_payroll.2026_08_15,2026-08-15,Žolinė (Švč. Mergelės Marijos ėmimo į dangų diena)
l10n_lt_payroll.2026_11_01,2026-11-01,Visų Šventųjų diena
l10n_lt_payroll.2026_11_02,2026-11-02,Mirusiųjų atminimo (Vėlinių) dieną
l10n_lt_payroll.2026_12_24,2026-12-24,Šv. Kūčios
l10n_lt_payroll.2026_12_25,2026-12-25,Šv. Kalėdos 1 d.
l10n_lt_payroll.2026_12_26,2026-12-26,Šv. Kalėdos 2 d.
l10n_lt_payroll.2027_01_01,2027-01-01,Naujųjų metų diena
l10n_lt_payroll.2027_02_16,2027-02-16,Lietuvos valstybės atkūrimo diena
l10n_lt_payroll.2027_03_11,2027-03-11,Lietuvos nepriklausomybės atkūrimo diena
l10n_lt_payroll.2027_03_28,2027-03-28,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 1 d.
