id,account_ids/id,excluded_account_ids/id
sl_general_report.pl1_report_1,,
sl_general_report.pl1_report_2,l10n_lt.1_account_410,
sl_general_report.pl1_report_3,"l10n_lt.account_account_45,l10n_lt.account_account_46,l10n_lt.account_account_44",
sl_general_report.pl1_report_4,l10n_lt.account_account_45,
sl_general_report.pl1_report_5,"l10n_lt.account_account_46,l10n_lt.account_account_44",
sl_general_report.pl1_report_6,"l10n_lt.account_account_47,l10n_lt.1_account_416,l10n_lt.1_account_419,l10n_lt.1_account_422,l10n_lt.1_account_427,l10n_lt.1_account_415",
sl_general_report.pl1_report_7,,
sl_general_report.pl1_report_8,l10n_lt.1_account_436,
sl_general_report.pl1_report_9,"l10n_lt.1_account_457,l10n_lt.account_account_69,l10n_lt.1_account_460,l10n_lt.1_account_463,l10n_lt.1_account_473,l10n_lt.1_account_474,l10n_lt.account_account_72","l10n_lt.1_account_464,l10n_lt.account_account_26,l10n_lt.account_account_75,l10n_lt.account_account_29,l10n_lt.account_account_76,l10n_lt.account_account_25,l10n_lt.account_account_9"
sl_general_report.pl1_report_10,,
sl_general_report.pl1_report_11,l10n_lt.1_account_446,
sl_general_report.pl1_report_12,"l10n_lt.1_account_459,l10n_lt.account_account_26,l10n_lt.account_account_75,l10n_lt.account_account_29","l10n_lt.account_account_76,l10n_lt.account_account_25"
sl_general_report.pl1_report_13,"l10n_lt.1_account_461,l10n_lt.1_account_462",
sl_general_report.pl1_report_14,"l10n_lt.account_account_59,l10n_lt.1_account_464",
sl_general_report.pl1_report_15,l10n_lt.account_account_76,
sl_general_report.pl1_report_16,"l10n_lt.account_account_64,l10n_lt.account_account_28,l10n_lt.account_account_25",
sl_general_report.pl1_report_17,l10n_lt.1_account_467,
sl_general_report.pl1_report_18,"l10n_lt.1_account_480,l10n_lt.1_account_483,l10n_lt.1_account_486,l10n_lt.1_account_489",
sl_general_report.pl1_report_19,l10n_lt.account_account_9,
sl_general_report.pl1_report_20,,
sl_general_report.pl1_report_21,,
sl_general_report.pl1_report_22,l10n_lt.1_account_502,
sl_general_report.pl1_report_23,,
