id,code,name,active
evrk_C172310,C172310,Kopijavimo popieriaus gamyba,TRUE
evrk_C172320,C172320,Vokų ir atvirukų gamyba,TRUE
evrk_C172400,C172400,Sienų apmušalų (tapetų) gamyba,TRUE
evrk_C172900,C172900,Kitų popierinių ir kartoninių gaminių gamyba,TRUE
evrk_C172910,C172910,Filtravimo popieriaus gamyba,TRUE
evrk_C180000,C180000,Spausdinimas ir įrašytų laikmenų tiražavimas,TRUE
evrk_C181000,C181000,Spausdinimas ir su spausdinimu susijusios paslaugos,TRUE
evrk_C181100,C181100,Laikraščių spausdinimas,TRUE
evrk_C181200,C181200,Kitas spausdinimas,TRUE
evrk_C181300,C181300,Parengiamoji spausdinimo ir žiniasklaidos veikla,TRUE
evrk_C181400,C181400,Įrišimas ir susijusios paslaugos,TRUE
evrk_C182000,C182000,Įrašytų laikmenų tiražavimas,TRUE
evrk_C182000,C182000,Įrašytų laikmenų tiražavimas,TRUE
evrk_C190000,C190000,Kokso ir rafinuotų naftos produktų gamyba,TRUE
evrk_C191000,C191000,Koksavimo krosnių produktų gamyba,TRUE
evrk_C191000,C191000,Koksavimo krosnių produktų gamyba,TRUE
evrk_C192000,C192000,Rafinuotų naftos produktų gamyba,TRUE
evrk_C192000,C192000,Rafinuotų naftos produktų gamyba,TRUE
evrk_C192010,C192010,Skystojo arba dujinio kuro gamyba,TRUE
evrk_C192020,C192020,Tepalų ir kitų alyvų gamyba,TRUE
evrk_C192030,C192030,Parafino ir techninio vazelino  gamyba,TRUE
evrk_C192040,C192040,Naftos bitumo gamyba,TRUE
evrk_C200000,C200000,Chemikalų ir chemijos produktų gamyba,TRUE
evrk_C201000,C201000,"Pagrindinių chemikalų, trąšų ir azoto junginių, pirminių plastikų ir pirminio sintetinio kaučiuko gamyba",TRUE
evrk_C201100,C201100,Pramoninių dujų gamyba,TRUE
evrk_C201200,C201200,Dažiklių ir pigmentų gamyba,TRUE
evrk_C201300,C201300,Kitų pagrindinių neorganinių chemikalų gamyba,TRUE
evrk_C201400,C201400,Kitų pagrindinių organinių chemikalų gamyba,TRUE
evrk_C201500,C201500,Trąšų ir azoto junginių gamyba,TRUE
evrk_C201510,C201510,Grynųjų ar kompleksinių azoto ir fosforo trąšų gamyba,TRUE
evrk_C201520,C201520,Karbamido gamyba,TRUE
evrk_C201530,C201530,Amoniako gamyba,TRUE
evrk_C201600,C201600,Pirminių plastikų gamyba,TRUE
evrk_C201700,C201700,Pirminio sintetinio kaučiuko gamyba,TRUE
evrk_C202000,C202000,Pesticidų ir kitų agrocheminių medžiagų gamyba,TRUE
evrk_C202000,C202000,Pesticidų ir kitų agrocheminių medžiagų gamyba,TRUE
evrk_C202010,C202010,Dezinfekantų gamyba,TRUE
evrk_C203000,C203000,"Dažų, lakų ir panašių dangų medžiagų, spaustuvinių dažų ir mastikų gamyba",TRUE
evrk_C203000,C203000,"Dažų, lakų ir panašių dangų medžiagų, spaustuvinių dažų ir mastikų gamyba",TRUE
evrk_C203010,C203010,Emalinių dažų ir lakų gamyba,TRUE
evrk_C203020,C203020,Organinių sudėtingų tirpiklių ir skiediklių gamyba,TRUE
evrk_C204000,C204000,"Muilo ir ploviklių, valiklių ir blizgiklių, kvepalų ir tualeto priemonių gamyba",TRUE
evrk_C204100,C204100,"Muilo ir ploviklių, valiklių ir blizgiklių gamyba",TRUE
evrk_C204200,C204200,Kvepalų ir tualeto priemonių gamyba,TRUE
evrk_C205000,C205000,Kitų cheminių medžiagų gamyba,TRUE
evrk_C205100,C205100,Sprogiųjų medžiagų gamyba,TRUE
evrk_C205200,C205200,Klijų gamyba,TRUE
evrk_C205300,C205300,Eterinio aliejaus gamyba,TRUE
evrk_C205900,C205900,"Kitų, niekur kitur nepriskirtų, cheminių medžiagų gamyba",TRUE
evrk_C205910,C205910,"Lydymo, litavimo ar suvirinimo miltelių ir pastų gamyba",TRUE
